id,contact_id,location_id,organization_id,service_id,number,extension,department,number_type,vanity_number,country_prefix
139322,139322,0,0,0,(410) 385-2910,,,
139322,139322,0,0,0,(410) 385-2913,,,Fax
139322,139322,0,0,0,(410) 385-2910,,,
139322,139322,0,0,0,(410) 385-2913,,,Fax
138946,138946,0,0,0,(410) 837-0209,,,
138946,138946,0,0,0,(410) 837-0209,,,
139752,139752,0,0,0,(202) 730-0524,,,
139752,139752,0,0,0,(202) 730-0514,,,Fax
139344,139344,0,0,0,(410) 653-0021,,,
139344,139344,0,0,0,(410) 653-0070,,,Fax
139344,139344,0,0,0,(410) 653-0021,,,
139344,139344,0,0,0,(410) 653-0070,,,Fax
139162,139162,0,0,0,(240) 527-2060,,,
139162,139162,0,0,0,(240) 527-2720,,,
139162,139162,0,0,0,(301) 697-3359,,,
139360,139360,0,0,0,(410) 225-2612,,,
139360,139360,0,0,0,(410) 225-3111,,,
139360,139360,0,0,0,(410) 225-3676,,,Fax
139360,139360,0,0,0,(410) 225-2612,,,
139360,139360,0,0,0,(410) 225-3111,,,
139360,139360,0,0,0,(410) 225-3676,,,Fax
