organization_id,category_id
139278,11504
139278,11516
139278,11517
139278,11523
139278,11586
139278,11650
139278,11680
139278,11720
139278,11785
139278,11788
139278,11803
139278,11848
139278,11852
139278,11874
139278,11919
139278,11970
139278,12000
139278,12115
139278,12120
139278,12170
139278,12232
139278,12253
138427,11507
138427,11630
138427,11633
138427,11679
138427,11764
138427,12067
138427,12115
138427,12160
139054,11504
139054,11523
139054,11702
139054,11749
139054,11852
139054,11919
139054,11920
139054,11924
139054,12012
139054,12014
139054,12115
139054,12199
139054,12249
139054,12255
138368,11504
138368,11508
138368,11512
138368,11515
138368,11518
138368,11523
138368,11527
138368,11530
138368,11533
138368,11546
138368,11548
138368,11552
138368,11556
138368,11557
138368,11563
138368,11580
138368,11586
138368,11598
138368,11608
138368,11618
138368,11619
138368,11620
138368,11622
138368,11627
138368,11632
138368,11659
138368,11679
138368,11690
138368,11695
138368,11699
138368,11702
138368,11704
138368,11710
138368,11724
138368,11727
138368,11730
138368,11731
138368,11732
138368,11733
138368,11734
138368,11735
138368,11736
138368,11737
138368,11738
138368,11739
138368,11740
138368,11741
138368,11742
138368,11743
138368,11744
138368,11745
138368,11746
138368,11747
138368,11748
138368,11749
138368,11752
138368,11754
138368,11755
138368,11781
138368,11782
138368,11788
138368,11790
138368,11792
138368,11819
138368,11921
138368,11928
138368,11955
138368,12014
138368,12049
138368,12074
138368,12075
138368,12076
138368,12115
138368,12124
138368,12126
138368,12175
138368,12183
138368,12185
138368,12199
138368,12205
138368,12208
138368,12244
138368,12247
138368,12249
138368,12270
138368,12278
138368,12279
138368,12281
139289,11511
139289,11525
139289,12115
139289,12212
139289,12224
139289,12243
139791,11550
139791,11693
139791,11695
139791,11737
139791,11743
139791,11779
139791,11780
139791,11848
139791,11861
139791,11874
137691,11497
137691,11540
137691,11552
137691,11597
137691,11664
137691,11679
137691,11710
137691,11781
137691,11792
137691,11821
137691,11864
137691,11872
137691,11880
137691,11881
137691,11921
137691,12001
137691,12007
137691,12115
137691,12204
137691,12205
138760,11504
138760,11508
138760,11523
138760,11559
138760,11564
138760,11618
138760,11622
138760,11642
138760,11679
138760,11681
138760,11724
138760,11727
138760,11729
138760,11730
138760,11731
138760,11732
138760,11733
138760,11734
138760,11735
138760,11736
138760,11737
138760,11738
138760,11739
138760,11740
138760,11741
138760,11742
138760,11743
138760,11744
138760,11745
138760,11746
138760,11747
138760,11748
138760,11749
138760,11754
138760,11755
138760,11782
138760,11818
138760,11819
138760,11824
138760,11902
138760,11968
138760,12081
138760,12082
138760,12083
138760,12115
138760,12141
138760,12158
138760,12185
138760,12217
138760,12227
138760,12241
138760,12270
138760,12321
138760,12335
138760,12345
138182,11584
138182,11604
138182,11605
138182,11616
138182,11680
138182,11768
138182,11893
138182,11981
138182,12045
138182,12055
138182,12115
138182,12213
139211,11518
139211,11585
139211,11618
139211,11620
139211,11622
139211,11684
139211,11822
139211,11955
139211,12115
139211,12175
138154,11550
138154,11640
138154,11657
138154,11701
138154,11724
138154,11730
138154,11731
138154,11732
138154,11733
138154,11734
138154,11735
138154,11736
138154,11737
138154,11738
138154,11739
138154,11740
138154,11741
138154,11742
138154,11743
138154,11744
138154,11745
138154,11746
138154,11747
138154,11748
138154,11749
138154,11754
138154,11755
138154,12115
138154,12254
139366,11527
139366,11675
139366,11679
139366,11694
139366,11815
139366,11956
139366,11958
139366,12115
137793,11631
137793,11638
137793,11683
137793,11684
137793,11730
137793,11731
137793,11732
137793,11733
137793,11749
137793,11779
137793,11780
137793,11867
137793,11874
137793,11876
137793,11878
137793,11884
137793,12115
137793,12121
137793,12174
137793,12359
137793,12368
138979,11586
138979,11679
138979,11690
138979,11692
138979,11695
138979,11702
138979,11724
138979,11730
138979,11731
138979,11732
138979,11733
138979,11734
138979,11735
138979,11736
138979,11737
138979,11738
138979,11739
138979,11740
138979,11741
138979,11742
138979,11743
138979,11744
138979,11745
138979,11746
138979,11747
138979,11748
138979,11749
138979,11754
138979,11755
138979,11771
138979,11928
138979,11972
138979,12115
138979,12258
138979,12365
138719,11504
138719,11506
138719,11507
138719,11508
138719,11516
138719,11525
138719,11537
138719,11546
